"Jahr","AlterLang","AlterSort","GeschlechtLang","GeschlechtSort","ErwerbstatusLang","ErwerbstatusSort","WgtFreq","LowerCLWgtFreq","UpperCLWgtFreq","RowPercent","RowLowerCL","RowUpperCL"
"2011/2012","25-39 Jahre",2,"Frauen",2,"Andere Nichterwerbspersonen",10,1200,800,1600,2.23441171791073,1.46883930882428,2.99998412699718
"2011/2012","40-54 Jahre",3,"Total",0,"Total",0,85800,83200,88400,100,_,_
"2011/2012","40-54 Jahre",3,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,34900,33200,36600,40.6857167780193,39.0457299310993,42.3257036249393
"2011/2012","40-54 Jahre",3,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,19600,18300,20900,22.8105457792571,21.4322166535294,24.1888749049847
"2011/2012","40-54 Jahre",3,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,6000,5300,6700,7.00137746736031,6.17089076887763,7.83186416584299
"2011/2012","40-54 Jahre",3,"Total",0,"Selbstständige",4,12700,11500,13800,14.7664113883529,13.5093404716165,16.0234823050893
"2011/2012","40-54 Jahre",3,"Total",0,"Lehrlinge",5,,,,,,
"2011/2012","40-54 Jahre",3,"Total",0,"Erwerbslose",6,3100,2500,3600,3.56059091696275,2.94848715871023,4.17269467521527
"2011/2012","40-54 Jahre",3,"Total",0,"In Ausbildung",7,300,100,500,0.3653705390088,0.15979827771782,0.57094280029978
"2011/2012","40-54 Jahre",3,"Total",0,"Haushaltsführende Personen",8,4000,3300,4700,4.67292674204484,3.88264511813987,5.46320836594981
"2011/2012","40-54 Jahre",3,"Total",0,"Rentner*innen",9,2800,2200,3500,3.30636725976119,2.59440424692357,4.01833027259881
"2011/2012","40-54 Jahre",3,"Total",0,"Andere Nichterwerbspersonen",10,2400,1900,3000,2.83069312923269,2.2108009948529,3.45058526361247
"2011/2012","40-54 Jahre",3,"Maenner",1,"Total",0,46000,43900,48200,100,_,_
"2011/2012","40-54 Jahre",3,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,24700,23200,26200,53.7204380675561,51.2611385290175,56.1797376060947
"2011/2012","40-54 Jahre",3,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,5700,5000,6500,12.4664336289195,10.8944208262428,14.0384464315962
"2011/2012","40-54 Jahre",3,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,1200,900,1600,2.68287915357132,1.861254778104,3.50450352903864
"2011/2012","40-54 Jahre",3,"Maenner",1,"Selbstständige",4,8900,7800,9900,19.2863494150657,17.2770509463365,21.295647883795
"2011/2012","40-54 Jahre",3,"Maenner",1,"Lehrlinge",5,,,,,,
"2011/2012","40-54 Jahre",3,"Maenner",1,"Erwerbslose",6,1700,1300,2100,3.62764239240618,2.73619608486561,4.51908869994674
"2011/2012","40-54 Jahre",3,"Maenner",1,"In Ausbildung",7,200,0,300,0.33848165630375,0.03547403203594,0.64148928057156
"2011/2012","40-54 Jahre",3,"Maenner",1,"Haushaltsführende Personen",8,800,300,1300,1.76892101725832,0.76087331642508,2.77696871809155
"2011/2012","40-54 Jahre",3,"Maenner",1,"Rentner*innen",9,1600,1100,2100,3.48830420736488,2.47140601592186,4.5052023988079
"2011/2012","40-54 Jahre",3,"Maenner",1,"Andere Nichterwerbspersonen",10,1200,800,1600,2.6205504615541,1.68572111011007,3.55537981299813
"2011/2012","40-54 Jahre",3,"Frauen",2,"Total",0,39800,38100,41500,100,_,_
"2011/2012","40-54 Jahre",3,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,10200,9300,11100,25.6031687892951,23.6505779890121,27.5557595895781
"2011/2012","40-54 Jahre",3,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,13800,12800,14900,34.7797750740521,32.5879639541694,36.9715861939348
"2011/2012","40-54 Jahre",3,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,4800,4100,5400,11.9983357152694,10.5145634843213,13.4821079462174
"2011/2012","40-54 Jahre",3,"Frauen",2,"Selbstständige",4,3800,3200,4300,9.5363661361634,8.21185571238785,10.8608765599389
"2011/2012","40-54 Jahre",3,"Frauen",2,"Lehrlinge",5,,,,,,
"2011/2012","40-54 Jahre",3,"Frauen",2,"Erwerbslose",6,1400,1100,1700,3.48300528443357,2.65874600186573,4.30726456700141
"2011/2012","40-54 Jahre",3,"Frauen",2,"In Ausbildung",7,200,0,300,0.3964838136814,0.12496786628364,0.66799976107916
"2011/2012","40-54 Jahre",3,"Frauen",2,"Haushaltsführende Personen",8,3200,2700,3700,8.03316780364558,6.7906420905871,9.27569351670405
"2011/2012","40-54 Jahre",3,"Frauen",2,"Rentner*innen",9,1200,800,1600,3.09584701293723,2.10881346999452,4.08288055587995
"2011/2012","40-54 Jahre",3,"Frauen",2,"Andere Nichterwerbspersonen",10,1200,900,1500,3.07385037052215,2.28689355287238,3.86080718817191
"2011/2012","55-64 Jahre",4,"Total",0,"Total",0,39100,37400,40900,100,_,_
"2011/2012","55-64 Jahre",4,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,11400,10400,12300,29.0805616289997,26.9555437016182,31.2055795563811
"2011/2012","55-64 Jahre",4,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,6000,5400,6700,15.4625986759763,13.8753519716115,17.049845380341
"2011/2012","55-64 Jahre",4,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,3000,2600,3500,7.78387544869806,6.60628153425736,8.96146936313877
"2011/2012","55-64 Jahre",4,"Total",0,"Selbstständige",4,6000,5300,6800,15.3889483546929,13.6332619853502,17.1446347240356
"2011/2012","55-64 Jahre",4,"Total",0,"Lehrlinge",5,,,,,,
"2011/2012","55-64 Jahre",4,"Total",0,"Erwerbslose",6,1600,1100,2100,4.09655060327697,2.93572383400652,5.25737737254742
"2011/2012","55-64 Jahre",4,"Total",0,"In Ausbildung",7,200,0,400,0.4591940993475,0.01051150652149,0.90787669217351
"2011/2012","55-64 Jahre",4,"Total",0,"Haushaltsführende Personen",8,1900,1400,2300,4.77410036658692,3.67645312120424,5.8717476119696
"2011/2012","55-64 Jahre",4,"Total",0,"Rentner*innen",9,7000,6100,7800,17.7695222435428,15.8864734345959,19.6525710524897
"2011/2012","55-64 Jahre",4,"Total",0,"Andere Nichterwerbspersonen",10,2000,1600,2500,5.18464857887869,4.12140812776625,6.24788902999113
"2011/2012","55-64 Jahre",4,"Maenner",1,"Total",0,19100,17700,20400,100,_,_
"2011/2012","55-64 Jahre",4,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,7800,7000,8700,40.9328683917286,37.4033098744739,44.4624269089832
"2011/2012","55-64 Jahre",4,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,1500,1100,1800,7.627412823583,5.89348020654065,9.36134544062535
"2011/2012","55-64 Jahre",4,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,900,600,1200,4.63196550602115,3.17005616807747,6.09387484396483
"2011/2012","55-64 Jahre",4,"Maenner",1,"Selbstständige",4,3800,3200,4400,19.8186318063626,16.9252746736022,22.7119889391231
"2011/2012","55-64 Jahre",4,"Maenner",1,"Lehrlinge",5,,,,,,
"2011/2012","55-64 Jahre",4,"Maenner",1,"Erwerbslose",6,1100,700,1500,5.65009682536167,3.52874145676477,7.77145219395858
"2011/2012","55-64 Jahre",4,"Maenner",1,"In Ausbildung",7,,,,,,
"2011/2012","55-64 Jahre",4,"Maenner",1,"Haushaltsführende Personen",8,300,100,500,1.76616029103531,0.67340684547464,2.85891373659597
"2011/2012","55-64 Jahre",4,"Maenner",1,"Rentner*innen",9,3100,2500,3600,16.1965560693902,13.5212854038287,18.8718267349518
"2011/2012","55-64 Jahre",4,"Maenner",1,"Andere Nichterwerbspersonen",10,600,400,900,3.37630828651727,2.01427499445423,4.73834157858031
"2011/2012","55-64 Jahre",4,"Frauen",2,"Total",0,20000,18800,21200,100,_,_
"2011/2012","55-64 Jahre",4,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,3600,3100,4000,17.7785139209518,15.6125113807544,19.9445164611492
"2011/2012","55-64 Jahre",4,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,4600,4000,5200,22.9340256376576,20.4069062022131,25.4611450731021
"2011/2012","55-64 Jahre",4,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,2200,1800,2500,10.7894537936347,8.97581147509691,12.6030961121726
"2011/2012","55-64 Jahre",4,"Frauen",2,"Selbstständige",4,2200,1800,2700,11.1649188299293,9.16432445534142,13.1655132045173
"2011/2012","55-64 Jahre",4,"Frauen",2,"Lehrlinge",5,,,,,,
"2011/2012","55-64 Jahre",4,"Frauen",2,"Erwerbslose",6,500,300,700,2.61512982416982,1.62711066892027,3.60314897941937
"2011/2012","55-64 Jahre",4,"Frauen",2,"In Ausbildung",7,200,0,400,0.89706950385523,0.02366376883678,1.77047523887368
"2011/2012","55-64 Jahre",4,"Frauen",2,"Haushaltsführende Personen",8,1500,1100,1900,7.64239283634798,5.79629605039763,9.48848962229832
"2011/2012","55-64 Jahre",4,"Frauen",2,"Rentner*innen",9,3900,3300,4500,19.2694613776971,16.631214916284,21.9077078391101
"2011/2012","55-64 Jahre",4,"Frauen",2,"Andere Nichterwerbspersonen",10,1400,1000,1700,6.90903427575617,5.29620703611227,8.52186151540007
"2011/2012","65 Jahre und älter",5,"Total",0,"Total",0,64200,62400,66000,100,_,_
"2011/2012","65 Jahre und älter",5,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,200,100,300,0.23688687523454,0.08283334125778,0.3909404092113
"2011/2012","65 Jahre und älter",5,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,500,300,600,0.71038660321938,0.46153873970008,0.95923446673868
"2011/2012","65 Jahre und älter",5,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,1500,1200,1800,2.30490826979312,1.83923022790456,2.77058631168168
"2011/2012","65 Jahre und älter",5,"Total",0,"Selbstständige",4,3700,3200,4200,5.77089907722128,5.02347879971708,6.51831935472547
"2011/2012","65 Jahre und älter",5,"Total",0,"Lehrlinge",5,,,,,,
"2011/2012","65 Jahre und älter",5,"Total",0,"Erwerbslose",6,100,0,100,0.0818550460925,0.0059787103737,0.1577313818113
"2011/2012","65 Jahre und älter",5,"Total",0,"In Ausbildung",7,,,,,,
"2011/2012","65 Jahre und älter",5,"Total",0,"Haushaltsführende Personen",8,400,200,500,0.55882513775704,0.28840877918869,0.8292414963254
"2011/2012","65 Jahre und älter",5,"Total",0,"Rentner*innen",9,57600,55900,59400,89.7984266872482,88.8237140904212,90.7731392840752
"2011/2012","65 Jahre und älter",5,"Total",0,"Andere Nichterwerbspersonen",10,300,200,500,0.53781230343383,0.25666772736695,0.8189568795007
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Total",0,24700,23400,26000,100,_,_
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,100,0,200,0.40146271158716,0.04824280326515,0.75468261990918
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,300,200,400,1.24655950001553,0.71910442943796,1.77401457059311
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,800,500,1000,3.08093662992147,2.16475228089356,3.99712097894937
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Selbstständige",4,2300,1900,2700,9.33235213466358,7.75760711644267,10.9070971528844
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Lehrlinge",5,,,,,,
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Erwerbslose",6,0,0,100,0.12996479493622,0,0.28641286836389
"2011/2012","65 Jahre und älter",5,"Maenner",1,"In Ausbildung",7,,,,,,
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Haushaltsführende Personen",8,0,0,0,0.04463613812096,0,0.13212519957037
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Rentner*innen",9,21000,19800,22200,85.2992317256033,83.3957377478599,87.2027257033467
"2011/2012","65 Jahre und älter",5,"Maenner",1,"Andere Nichterwerbspersonen",10,100,0,200,0.46485636515169,0.02465531395304,0.90505741635034
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Total",0,39500,38100,41000,100,_,_
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,100,0,100,0.13416454290809,0.0161499545646,0.25217913125158
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,100,100,200,0.37572671808826,0.14163027036232,0.6098231658142
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,700,500,900,1.82053921009076,1.32668957818832,2.3143888419932
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Selbstständige",4,1400,1100,1700,3.54796785815843,2.8527770157868,4.24315870053006
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Lehrlinge",5,,,,,,
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Erwerbslose",6,0,0,100,0.05182666696716,0,0.12700170866997
"2011/2012","65 Jahre und älter",5,"Frauen",2,"In Ausbildung",7,,,,,,
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Haushaltsführende Personen",8,300,200,500,0.87976346302887,0.44492900677325,1.31459791928448
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Rentner*innen",9,36600,35200,38000,92.6066627581943,91.5760225953535,93.6373029210352
"2011/2012","65 Jahre und älter",5,"Frauen",2,"Andere Nichterwerbspersonen",10,200,100,400,0.58334878256402,0.21865866612124,0.9480388990068
"2013/2014","Total",0,"Total",0,"Total",0,333900,329500,338200,100,_,_
"2013/2014","Total",0,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,119600,115600,123500,35.8084223433881,34.7861196902798,36.8307249964963
"2013/2014","Total",0,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,49600,47000,52200,14.8566243068557,14.1082421535187,15.6050064601926
"2013/2014","Total",0,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,24900,22900,27000,7.46951228590216,6.87996675097972,8.05905782082461
"2013/2014","Total",0,"Total",0,"Selbstständige",4,28200,26500,29900,8.44179837043899,7.92347067063075,8.96012607024722
